dates,F_1,F_2,F_3,F_4,F_5,F_6,F_7,F_8,F_9,F_10,F_11,F_12,F_13,F_14,M_1,M_2,M_3,M_4,M_5,M_6,M_7,M_8,M_9,M_10,M_11,M_12,M_13,M_14,M_15,M_16
11/1/17,1,3,1,1,2,1,2,1,3,1,1,2,3,1,1,2,1,1,1,1,1,3,1,1,3,1,1,1,3,3
12/1/17,1,3,1,1,2,1,2,1,3,1,1,2,3,1,1,1,1,1,3,1,1,3,1,1,3,1,1,1,3,3
1/1/18,1,3,1,1,2,1,2,1,3,1,1,3,3,1,1,1,1,1,3,1,1,3,1,1,3,1,1,1,3,3
2/1/18,1,3,1,1,1,1,2,1,3,2,1,3,3,1,1,1,1,1,3,1,1,3,1,1,3,1,1,1,3,3
3/1/18,1,3,1,1,1,1,2,1,3,2,1,3,3,3,1,1,1,1,3,1,1,3,1,1,3,1,1,1,3,3
4/1/18,1,3,1,1,1,1,2,1,3,2,1,3,3,3,1,1,1,1,1,1,1,3,1,1,3,1,1,1,3,3
5/1/18,1,3,1,1,1,1,2,1,3,2,1,3,3,3,1,1,1,1,1,1,1,3,1,1,3,1,1,1,3,3
6/1/18,1,3,1,1,1,1,2,1,3,1,1,3,3,3,1,1,1,1,1,1,1,3,1,1,3,1,1,1,3,3
7/1/18,1,3,1,1,1,1,1,1,2,1,1,3,3,1,1,1,1,1,1,1,1,3,1,1,3,1,1,1,2,3
8/1/18,1,3,1,1,1,1,1,1,2,1,1,3,3,1,1,1,1,1,1,1,1,3,1,1,3,1,1,2,2,3
9/1/18,1,3,1,1,1,1,1,1,1,1,1,3,3,1,1,1,1,1,1,1,1,3,1,1,3,1,1,2,2,3
10/1/18,1,3,1,1,2,1,1,1,1,1,1,3,3,1,1,1,1,1,1,1,1,3,1,1,3,1,1,2,2,3
11/1/18,1,3,1,1,2,1,1,2,1,1,1,3,3,1,1,1,1,1,1,1,1,3,1,1,3,1,1,1,2,3
12/1/18,1,3,1,1,1,1,1,2,1,1,1,3,3,1,1,1,1,1,1,1,1,3,1,1,3,1,1,1,1,3
1/1/19,1,3,1,1,1,1,1,2,1,1,1,3,3,1,1,1,1,1,1,1,1,3,2,1,2,1,1,1,1,3
2/1/19,1,3,1,1,1,1,1,2,1,1,1,3,3,1,1,1,1,1,1,1,1,3,2,3,2,3,1,1,1,3
3/1/19,1,2,1,1,1,1,1,2,1,1,1,3,3,1,1,1,1,1,1,1,1,3,1,3,2,3,1,1,1,3
4/1/19,1,2,1,1,1,1,1,1,2,1,1,3,3,1,1,1,1,1,1,1,1,3,1,3,1,3,1,1,1,3
5/1/19,1,1,1,1,1,1,1,1,2,1,1,3,3,1,1,1,1,1,1,1,1,3,1,3,1,3,1,1,1,3
6/1/19,1,1,1,1,1,1,1,1,2,1,1,3,3,1,1,1,1,1,1,1,1,3,1,3,1,3,1,1,1,3
7/1/19,1,1,1,1,1,1,1,1,2,1,1,3,3,1,1,1,1,1,1,1,1,3,1,3,1,3,1,1,1,3
8/1/19,1,1,1,1,1,3,1,1,2,1,1,3,3,1,1,1,1,1,1,1,1,3,1,3,1,3,1,1,1,3
9/1/19,1,1,1,1,1,3,1,1,2,1,1,3,3,1,1,1,1,1,1,1,1,3,1,3,1,3,1,1,1,3
10/1/19,1,1,1,2,1,3,1,1,2,1,1,3,3,1,1,1,1,1,1,1,1,3,1,3,1,3,1,1,1,3
11/1/19,1,1,1,2,2,3,1,1,2,1,1,3,3,1,1,1,1,1,1,1,1,2,1,3,1,3,1,1,1,3
12/1/19,1,1,1,2,2,3,1,1,2,1,1,3,3,1,1,1,1,1,1,1,1,2,1,3,1,3,1,1,1,3
1/1/20,1,1,1,2,2,3,1,1,1,1,1,3,3,1,1,2,1,1,1,1,1,2,1,3,1,3,1,1,1,3
2/1/20,1,1,1,1,2,3,1,1,1,1,1,3,2,1,1,2,1,1,1,1,1,2,1,3,1,3,1,1,1,3
3/1/20,1,1,1,1,2,2,1,1,1,1,1,3,2,1,1,2,1,1,1,1,1,2,1,3,1,3,1,1,1,3
4/1/20,1,1,1,1,2,2,1,1,1,1,1,3,1,1,1,2,1,1,1,1,1,2,1,2,1,3,1,1,1,3
5/1/20,1,1,1,1,2,1,1,1,1,1,1,3,1,1,1,2,1,1,1,1,1,2,1,2,1,3,1,1,1,3
6/1/20,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,2,1,2,1,2,1,3,1,1,1,3
7/1/20,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,2,1,2,1,1,1,3,1,1,1,3
8/1/20,1,1,1,2,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,2,1,2,1,1,1,3,1,1,1,3
9/1/20,1,1,1,2,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,1,1,3
10/1/20,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,3
11/1/20,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,3
12/1/20,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,3
1/1/21,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,3
2/1/21,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
3/1/21,1,1,1,2,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
4/1/21,1,1,1,2,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
5/1/21,1,3,1,2,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
6/1/21,1,3,1,2,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1
7/1/21,1,3,1,2,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
8/1/21,1,3,1,2,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
9/1/21,1,3,1,2,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
10/1/21,1,3,1,2,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
11/1/21,1,3,1,2,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
12/1/21,1,3,1,2,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1
1/1/22,1,3,1,2,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1
2/1/22,1,3,1,2,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1
3/1/22,1,1,1,1,1,1,1,2,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1
4/1/22,1,1,1,1,1,1,1,2,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1
5/1/22,1,1,1,1,1,1,1,2,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1
6/1/22,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1
7/1/22,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1
8/1/22,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1
9/1/22,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,3,3,1,1,1,1,1
10/1/22,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,3,3,1,1,1,1,1
11/1/22,1,1,1,1,2,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,3,3,1,1,1,1,1
12/1/22,1,1,1,1,2,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,3,3,1,1,1,1,1
1/1/23,1,1,1,1,2,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1
2/1/23,1,1,1,1,2,1,1,1,1,1,1,3,1,1,1,1,3,1,1,1,1,1,1,2,3,1,1,1,1,1
3/1/23,1,1,1,1,2,1,1,1,1,1,1,3,1,1,1,1,3,1,1,1,1,1,1,2,3,1,1,1,1,1
4/1/23,1,1,1,1,2,1,1,1,1,1,1,3,1,1,1,1,3,1,1,1,1,1,1,2,3,3,1,1,1,1
5/1/23,1,1,1,1,2,1,1,1,1,1,1,3,1,1,1,1,3,1,1,1,1,1,1,2,2,3,1,1,1,1
6/1/23,1,1,1,1,2,1,1,1,1,1,1,3,1,1,1,1,3,1,1,1,1,1,1,2,2,3,1,1,1,1
7/1/23,1,2,2,1,2,1,2,1,1,1,1,3,1,1,1,1,3,1,1,1,1,1,1,2,1,3,1,1,1,1
8/1/23,1,2,2,1,1,1,2,1,1,1,1,3,1,1,1,1,3,1,1,1,1,1,1,2,1,3,1,1,1,1
9/1/23,1,2,2,1,1,1,2,1,1,1,1,3,1,1,1,1,3,1,1,1,1,1,1,2,1,3,1,1,1,1
10/1/23,1,2,2,1,1,1,2,1,1,1,1,3,1,1,1,1,3,1,1,1,1,1,1,1,1,3,1,1,1,1
11/1/23,1,1,2,1,1,1,2,1,1,1,1,3,1,1,1,1,3,1,1,1,1,1,1,1,1,3,1,1,1,1
12/1/23,1,1,1,1,1,1,2,1,1,1,1,3,1,1,1,1,3,1,1,1,1,1,1,1,1,3,1,1,1,1
